# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
40

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TCZFITCZEU,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333332999993459e+00, 0.000000000000000000e+00, 8.333365941695650037e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,30,17
# x,y,z,u,w
1.107473742133297989e+01, 1.704896115008071478e+00, 7.300944796098108647e+00, 5.000000000000000000e-01, 4.000000000000000000e+00
1.318141308462818806e+01, 2.110926253093233562e+00, 7.487894388898712172e+00, 7.500000000000000000e-01, 0.000000000000000000e+00
1.318698476332679448e+01, 1.955229895971183129e+00, 6.598666442561901491e+00, 7.500000000000000000e-01, 2.500000000000000000e-01
1.319149835038914986e+01, 1.503464203068519023e+00, 5.864845602056804275e+00, 7.500000000000000000e-01, 5.000000000000000000e-01
1.319437098704397471e+01, 8.272781063674502500e-01, 5.368448388206489064e+00, 7.500000000000000000e-01, 7.500000000000000000e-01
1.319536278671328589e+01, -3.838075690598685696e-17, 5.186220792630121146e+00, 7.500000000000000000e-01, 1.000000000000000000e+00
1.319437098704397471e+01, -8.272781063674503610e-01, 5.368448388206489064e+00, 7.500000000000000000e-01, 1.250000000000000000e+00
1.319149835038914986e+01, -1.503464203068518801e+00, 5.864845602056804275e+00, 7.500000000000000000e-01, 1.500000000000000000e+00
1.318698476332679270e+01, -1.955229895971182685e+00, 6.598666442561901491e+00, 7.500000000000000000e-01, 1.750000000000000000e+00
1.318141308462818806e+01, -2.110926253093233562e+00, 7.487894388898712172e+00, 7.500000000000000000e-01, 2.000000000000000000e+00
1.317555007385394461e+01, -1.925747452290915707e+00, 8.366731710977422409e+00, 7.500000000000000000e-01, 2.250000000000000000e+00
1.317055512152866648e+01, -1.460580648624493660e+00, 9.077026370831637436e+00, 7.500000000000000000e-01, 2.500000000000000000e+00
1.316746706178339643e+01, -7.977956626871830492e-01, 9.548786058559297629e+00, 7.500000000000000000e-01, 2.750000000000000000e+00
1.316644987221092222e+01, 7.544802103650330114e-18, 9.719511684405796714e+00, 7.500000000000000000e-01, 3.000000000000000000e+00
1.316746706178339821e+01, 7.977956626871831602e-01, 9.548786058559297629e+00, 7.500000000000000000e-01, 3.250000000000000000e+00
1.317055512152866825e+01, 1.460580648624493660e+00, 9.077026370831637436e+00, 7.500000000000000000e-01, 3.500000000000000000e+00
1.317555007385394461e+01, 1.925747452290917483e+00, 8.366731710977422409e+00, 7.500000000000000000e-01, 3.750000000000000000e+00
1.318141308462818806e+01, 2.110926253093233118e+00, 7.487894388898712172e+00, 7.500000000000000000e-01, 4.000000000000000000e+00
1.472620185004517346e+01, 2.291666666575000288e+00, 7.572871476535350865e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.472620185004517523e+01, 2.111914062415523485e+00, 6.598652726574319338e+00, 1.000000000000000000e+00, 2.500000000000000000e-01
1.472620185004517523e+01, 1.621354166601812530e+00, 5.804121476606100671e+00, 1.000000000000000000e+00, 5.000000000000000000e-01
1.472620185004517523e+01, 8.930338541309451594e-01, 5.268965226627506659e+00, 1.000000000000000000e+00, 7.500000000000000000e-01
1.472620185004517523e+01, 4.108650548026102925e-33, 5.072871476635350874e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
1.472620185004517523e+01, -8.930338541309452705e-01, 5.268965226627506659e+00, 1.000000000000000000e+00, 1.250000000000000000e+00
1.472620185004517523e+01, -1.621354166601812308e+00, 5.804121476606100671e+00, 1.000000000000000000e+00, 1.500000000000000000e+00
1.472620185004517523e+01, -2.111914062415523041e+00, 6.598652726574319338e+00, 1.000000000000000000e+00, 1.750000000000000000e+00
1.472620185004517346e+01, -2.291666666574999400e+00, 7.572871476535350865e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.472620185004517346e+01, -2.111914062415523041e+00, 8.547090226496381504e+00, 1.000000000000000000e+00, 2.250000000000000000e+00
1.472620185004517523e+01, -1.621354166601812530e+00, 9.341621476464601059e+00, 1.000000000000000000e+00, 2.500000000000000000e+00
1.472620185004517523e+01, -8.930338541309451594e-01, 9.876777726443194183e+00, 1.000000000000000000e+00, 2.750000000000000000e+00
1.472620185004517523e+01, 0.000000000000000000e+00, 1.007287147643535086e+01, 1.000000000000000000e+00, 3.000000000000000000e+00
1.472620185004517523e+01, 8.930338541309454925e-01, 9.876777726443194183e+00, 1.000000000000000000e+00, 3.250000000000000000e+00
1.472620185004517523e+01, 1.621354166601812752e+00, 9.341621476464601059e+00, 1.000000000000000000e+00, 3.500000000000000000e+00
1.472620185004517523e+01, 2.111914062415525262e+00, 8.547090226496381504e+00, 1.000000000000000000e+00, 3.750000000000000000e+00
1.472620185004517346e+01, 2.291666666575000288e+00, 7.572871476535350865e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.672796743611569781e+01, 2.404459169139224084e+00, 7.672759243251032757e+00, 1.500000000000000000e+00, 0.000000000000000000e+00
